CD_SETOR,SITUACAO,AREA_KM2,CD_REGIAO,NM_REGIAO,CD_UF,NM_UF,CD_MUN,NM_MUN,CD_DIST,NM_DIST,CD_SUBDIST,NM_SUBDIST,CD_BAIRRO,NM_BAIRRO,CD_NU,NM_NU,v0001,v0002,v0003,v0004,v0005,v0006,v0007
"3,30391E+14",Urbana,"0,0677921",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,213,172,171,1,"2,6","0,122",82
"3,30391E+14",Urbana,"0,0013559",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,0,0,0,0,0,0,0
"3,30391E+14",Urbana,"0,0027929",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,10,198,198,0,"1,7",0,6
"3,30391E+14",Urbana,"0,6026553",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,105,180,180,0,2,"0,1509",53
"3,30391E+14",Urbana,"0,2194572",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,225,136,136,0,"2,3","0,0306",98
"3,30391E+14",Urbana,"1,6424534",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,476,360,360,0,"2,5","0,0412",194
"3,30391E+14",Urbana,"0,3202639",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,135,181,181,0,"2,4","0,0526",57
"3,30391E+14",Urbana,"0,2063811",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,520,229,229,0,"2,7","0,0103",194
"3,30391E+14",Urbana,"0,2469965",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,282,142,142,0,"2,5","0,018",111
"3,30391E+14",Urbana,"1,2721999",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,138,130,130,0,"2,8","0,0408",49
"3,30391E+14",Urbana,"0,4477736",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,150,74,74,0,"2,9","0,1346",52
"3,30391E+14",Urbana,"0,0907449",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,487,209,209,0,"2,7","0,1105",181
"3,30391E+14",Urbana,"0,0700792",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,654,279,279,0,"2,7","0,0898",245
