dataset_of_90s_track,dataset_of_90s_artist,dataset_of_90s_uri,dataset_of_90s_danceability,dataset_of_90s_energy,dataset_of_90s_key,dataset_of_90s_loudness,dataset_of_90s_mode,dataset_of_90s_speechiness,dataset_of_90s_acousticness,dataset_of_90s_instrumentalness,dataset_of_90s_liveness,dataset_of_90s_valence,dataset_of_90s_tempo,dataset_of_90s_duration_ms,dataset_of_90s_time_signature,dataset_of_90s_chorus_hit,dataset_of_90s_sections,dataset_of_90s_target,dataset_of_90s_id_ano
El Último Rock,Marta Sánchez,spotify:track:5NLn1bSQIpxbD7XitGR4Ge,0.741,0.838,1,"-5,567",1,"0,0399","0,00558","0,000771","0,0458","0,857","123,339",199493,4,"48,48309",8,0,6
E-Lectric - Live,S.P.O.C.K,spotify:track:7fKRSn8ItJAkDQn1NHlwkg,0.826,0.993,1,"-8,976",1,"0,105","0,159","5,08E-05","0,953","0,739","119,922",253467,4,"37,11638",12,0,6
Electric Eye,Judas Priest,spotify:track:647rXxhh0GKJRjyuSLkqYh,0.422,0.952,4,"-6,033",0,"0,0817","0,000902","0,000231","0,372","0,335","96,856",218547,4,"21,31382",10,0,6
Emperor Jones,Joe Lovano,spotify:track:5wRlH3diPDfn9jv91hxkUy,0.336,0.328,7,"-15,005",0,"0,0386","0,93","0,732","0,111","0,222","184,007",314493,3,"171,06546",10,0,6
Empty Promises,Hatebreed,spotify:track:18KlaxNHpQCDSVVqYLZyPU,0.369,0.935,0,"-6,477",1,"0,153","1,87E-05","5,59E-05","0,174","0,133","113,912",78893,3,"34,16273",4,0,6
Encadenados,Nelson Ned,spotify:track:1mJHK3AjLwBiL2bMXcNTlP,0.471,0.47,9,"-10,136",0,"0,03","0,697",0,"0,107","0,359","82,834",201627,4,"46,04383",9,0,6
Entrega De Amor,Los Angeles Azules,spotify:track:2SNP0sm56HwUvZh7bL66pi,0.654,0.545,3,"-7,322",1,"0,0433","0,218","5,08E-05","0,147","0,834","85,795",176560,4,"32,1884",7,0,6
Er Indoors,Johnny Hawksworth,spotify:track:2GCS9jBrWwpaxlkVhhUisc,0.657,0.45,0,"-9,56",1,"0,0616","0,702","0,487","0,0597","0,956","176,542",142760,4,"64,2193",6,0,6
"Era um Garoto, Que Como Eu, Amava os Beatles e os Rolling Stones",Engenheiros Do Hawaii,spotify:track:5HDlh6UhT3AMQs935wE1qr,0.568,0.7,6,"-5,42",1,"0,0258","0,0409","7,11E-06","0,0838","0,571","131,885",265040,4,"28,05646",14,0,6
Eriskay Love Lilt,The King's Singers,spotify:track:5hpz5qWByZBWqNVZ8m6WCO,0.259,0.0259,4,"-28,279",1,"0,0354","0,971","0,158","0,12","0,181","76,561",186733,3,"47,99073",10,0,6
Every Heartbeat,Amy Grant,spotify:track:55lX3vm1G35mUpawXHK5Te,0.648,0.89,2,"-3,834",1,"0,0429","0,288",0,"0,119","0,808","126,956",213733,4,"31,93258",12,1,6
Everybodies Girl,Dwarves,spotify:track:0luiEdjsPs2uXKEEXRmZlc,0.381,0.968,4,"-5,287",1,"0,0992","0,00532",0,"0,607","0,433","143,099",162333,4,"41,28468",9,0,6
Everyone Falls In Love,Tanto Metro & Devonte,spotify:track:6nGwWIh0ATJqK9cXbLqDw8,0.754,0.702,10,"-8,033",0,"0,0429","0,0275",0,"0,0619","0,736","95,998",228360,4,"40,4018",13,1,6
Everything Changes,Pokémon,spotify:track:6tBCoAInhv2sbKgYXuWLJ5,0.704,0.731,11,"-8,294",0,"0,0384","0,0401","0,000143","0,0805","0,554","110,023",280867,4,"27,36969",13,0,6
Evil Shower,Mattias IA Eklundh,spotify:track:16yXBl3KfEglejxqIEpOAr,0.283,0.814,9,"-8,358",1,"0,0337","0,00562","0,776","0,0836","0,528","109,625",188293,4,"126,03181",5,0,6
Evil Ways,Willie Bobo,spotify:track:6LoiJXXZuZejbG6VjmjzA4,0.811,0.447,2,"-11,298",0,"0,0433","0,546",0,"0,0615","0,92","111,435",160827,4,"42,1345",7,0,6
F - Four Furry Friends,Cookie Monster,spotify:track:6TkE2GZ9JAY7ESFQofbU9Q,0.46,0.416,5,"-13,121",1,"0,0902","0,891",0,"0,247","0,377","96,098",119307,3,"24,50067",7,0,6
Face The Music,RTZ,spotify:track:2F3ENbneNRsFZ0wpbpXLZF,0.666,0.909,4,"-11,076",1,"0,0955","0,341",0,"0,246","0,535","118,137",245907,4,"47,93171",10,1,6
Faded Pictures,Case & Joe,spotify:track:1CAw3ethNuSDPf3E7luSFF,0.705,0.511,6,"-7,422",0,"0,202","0,125","1,72E-06","0,153","0,581","82,011",229773,4,"48,31709",10,1,6
Fall At Your Feet,Crowded House,spotify:track:1Yc2k9b9PNZSB6P5S53SPC,0.65,0.371,0,"-13,623",0,"0,026","0,457","0,0116","0,102","0,561","102,583",198800,4,"40,63717",9,1,6
Fall Children,AFI,spotify:track:6KTXHrliiM0il8gq7AkQPC,0.213,0.988,4,"-6,651",0,"0,203","0,000187","1,19E-05","0,294","0,0572","159,071",192627,4,"29,82099",7,0,6
Fall Down,Toad The Wet Sprocket,spotify:track:2tJlASUdstRCCecAN9rThS,0.472,0.856,0,"-6,881",1,"0,0326","0,146","0,000672","0,175","0,774","151,972",202427,4,"34,29431",10,1,6
Fall In Love Again,Eddie Money,spotify:track:3kVsdeo86jZLNvZBoVLgNk,0.596,0.521,4,"-8,357",1,"0,0298","0,605","5,48E-06","0,0981","0,519","146,951",262333,4,"39,71521",10,1,6
Far Behind,Candlebox,spotify:track:3mhOmh4tRKsMfnRmgZfeBm,0.552,0.645,7,"-6,595",1,"0,0268","0,00187","1,38E-06","0,0424","0,588","89,518",299733,4,"97,57176",7,1,6
Fastlove,George Michael,spotify:track:6SaeXxdt0Id6ZzmX0ZGTQK,0.735,0.64,10,"-7,522",0,"0,072","0,052","0,00102","0,345","0,551","104,444",324667,4,"40,88241",17,1,6
Fat Boy,Max-A-Million,spotify:track:2hXk6pi1tWdp1eEx20rJLA,0.832,0.953,5,"-6,351",0,"0,0367","0,0105","0,00607","0,0293","0,981","126,947",214000,4,"31,4878",11,1,6
Feel So Good,Mase,spotify:track:7hfRrdFJgFKK3cJ4rmkecE,0.821,0.703,11,"-8,464",0,"0,24","0,192",0,"0,0816","0,536","105,154",203627,4,"48,2157",9,1,6
Few And Far Between,"10,000 Maniacs",spotify:track:5KqINh56tApMe4LDMfLwOp,0.614,0.928,6,"-6,827",1,"0,032","0,0081","0,00051","0,025","0,878","133,629",194373,4,"29,19663",8,1,6
Finale - Dragonheart/Soundtrack Version,Randy Edelman,spotify:track:0BGWQK9e3R0dEM4pZpRfIE,0.173,0.238,0,"-13,977",1,"0,0349","0,906","0,827","0,296","0,0573","64,403",330693,4,"73,6223",10,0,6
Find A Way,A Tribe Called Quest,spotify:track:2MAaiV0bbeq4FpSwPe2rR8,0.773,0.581,8,"-8,466",1,"0,432","0,0352",0,"0,485","0,711","94,093",203067,4,"40,59162",10,1,6
Fire Escape,Fastball,spotify:track:2jqua17r7DJuqRXl1uJwJM,0.576,0.813,6,"-5,69",1,"0,0297","0,00354","0,143","0,0712","0,857","125,686",201133,4,"52,60202",8,1,6
Fire Woman,Psychic TV,spotify:track:3WUEnxaZfLYV0vO4r5YKIb,0.686,0.822,7,"-12,094",1,"0,0764","0,00325","0,27","0,732","0,444","119,987",291933,4,"84,08633",8,0,6
First Time,Matt Nathanson,spotify:track:2EZFzm4VZtbxJXBDhHRmwu,0.54,0.456,6,"-6,133",1,"0,0274","0,201",0,"0,12","0,355","92,988",239947,4,"38,41405",12,0,6
Five Lessons Learned,Swingin' Utters,spotify:track:23RuCuUzVU8KMJOjJqH424,0.316,0.981,4,"-4,369",0,"0,0685","0,000781","0,0148","0,458","0,68","152,922",115907,4,"63,98437",4,0,6
Flowers,Cibo Matto,spotify:track:3SkXogdDdL4e3h2IbJF9Kt,0.737,0.754,9,"-6,611",0,"0,0337","0,297","0,000294","0,046","0,909","132,468",179133,4,"37,04308",8,0,6
Fly Away,Lenny Kravitz,spotify:track:1OxcIUqVmVYxT6427tbhDW,0.586,0.872,7,"-5,066",1,"0,0483","0,018",0,"0,622","0,729","159,925",221333,4,"25,0524",8,1,6
Foe Life,Mack 10,spotify:track:28SF0lKRqso9SSTDpbv991,0.917,0.665,8,"-6,053",1,"0,0924","0,0816",0,"0,196","0,808","91,082",253800,4,"63,50453",9,1,6
Foe Tha Love Of $,Bone Thugs-N-Harmony Featuring Eazy-E,spotify:track:1muLq1kBLWIT3pmNC2xl0g,0.772,0.695,7,"-8,013",1,"0,0735","0,00295",0,"0,427","0,643","137,868",272440,1,"17,03593",14,1,6
Foolin' Around,Changing Faces,spotify:track:1jkAxE1qKoy9BsrOlTpIke,0.591,0.574,5,"-8,276",0,"0,0269","0,228","1,43E-05","0,0794","0,229","131,495",268160,4,"34,02821",11,1,6
Foolish Heart,Sharon Bryant,spotify:track:7JR5s8DtDZxhVHAqawvo20,0.642,0.419,1,"-12,609",1,"0,0316","0,481",0,"0,0523","0,755","95,6",279840,4,"46,68056",10,1,6
For A Little While,Tim McGraw,spotify:track:6SvT6aiC3gfSZsNZBpPH4c,0.554,0.815,7,"-7,954",1,"0,0256","0,133",0,"0,0778","0,618","99,333",213893,4,"22,05685",11,1,6
For Every Mountain - Live,Kurt Carr & The Kurt Carr Singers,spotify:track:0pbg96qmU9zxBEqrQCLAoz,0.333,0.826,2,"-5,02",0,"0,14","0,794","5,94E-05","0,973","0,161","106,299",445347,4,"30,39479",16,0,6
For the Love of God,Steve Vai,spotify:track:5m5I3KcV83zf2p2qbsnr3y,0.152,0.842,9,"-5,783",0,"0,0418","0,00347","0,912","0,115","0,283","95,49",363333,4,"73,27519",19,0,6
For Whom The Bell Tolls,Apocalyptica,spotify:track:1BgxJFxLi5Qt9cwB5Enefq,0.552,0.501,9,"-6,868",1,"0,0275","0,1","0,854","0,113","0,441","118,037",191400,4,"33,78685",7,0,6
For You,Kenny Lattimore,spotify:track:4fgQMbN9r8d9V2exSTsLFs,0.633,0.42,4,"-11,784",1,"0,0352","0,737",0,"0,0727","0,482","137,693",236147,4,"60,41379",9,1,6
Forked Deer,Jeff Autry,spotify:track:4cK5rFaJiG5tXGrEAi6Ij2,0.57,0.653,2,"-10,459",1,"0,0374","0,778","0,147","0,223","0,736","126,532",211747,4,"30,79731",13,0,6
Fort Battle,Trevor Jones,spotify:track:5nnMbozXiRKqbTJnEb4Sv8,0.297,0.432,2,"-15,449",1,"0,0403","0,000224","0,955","0,152","0,178","150,392",261733,3,"31,23263",12,0,6
Four Leaf Clover,Abra Moore,spotify:track:69Icug2F3NaW6jiCrhHPMf,0.672,0.776,2,"-6,351",1,"0,0323","0,12","4,1E-05","0,102","0,973","127,992",213840,4,"16,08955",10,1,6
Freakit,Das EFX,spotify:track:1A4DjgWzJ839VdFCKE5hBD,0.801,0.518,1,"-12,054",1,"0,314","0,0286","3,65E-06","0,309","0,598","97,302",199493,4,"55,7187",7,1,6
Friends,Joe Satriani,spotify:track:3ELd4WXLe2ZDQb0ExOvJgX,0.422,0.842,1,"-4,629",1,"0,0339","1,74E-05","0,922","0,0835","0,768","86,142",208600,4,"76,09562",7,0,6
Funkorama,Redman,spotify:track:7DRLt7ciofFgZp4m8b8Z4z,0.603,0.845,1,"-6,589",1,"0,495","0,0106","1,9E-05","0,0482","0,824","178,377",183307,4,"27,90154",8,1,6
Gangsta,Bell Biv DeVoe,spotify:track:1XgiaKAh3lzjaABhHUB0IX,0.724,0.778,1,"-8,924",1,"0,0618","0,00151","0,112","0,387","0,768","112,518",269067,4,"22,44643",10,1,6
Georgia On My Mind,Michael Bolton,spotify:track:49kdc9KAqm4N28Y01g8SuS,0.321,0.435,11,"-10,942",1,"0,0341","0,256","1,06E-05","0,086","0,174","158,465",298133,3,"45,70894",18,1,6
Get Down On Your Knees And Pray - Live,The Kentucky Colonels,spotify:track:6MdOgv6q4kFo9KAFFDm8E3,0.414,0.291,6,"-13,433",1,"0,0476","0,787","0,000118","0,849","0,693","168,029",160000,4,"38,5726",7,0,6
Get It On Tonite,Montell Jordan,spotify:track:0AcLrSfAEBQcUnHOTm5pXg,0.807,0.498,10,"-9,91",0,"0,0755","0,259","3,04E-05","0,0618","0,857","99,001",277413,4,"29,42822",14,1,6
Get On Up,Jodeci,spotify:track:1SyR0qHmGNRZQ49Z0rFU4A,0.717,0.561,11,"-7,898",1,"0,245","0,567",0,"0,439","0,673","93,116",225933,4,"29,23132",11,1,6
Get Up! (Before The Night Is Over),Technotronic,spotify:track:2MOOJh1xUgND4rLjB6h4jY,0.79,0.727,6,"-11,84",0,"0,105","0,00418","0,000162","0,0628","0,67","123,958",337093,4,"24,12279",14,1,6
Gett Off,Prince And The N.P.G.,spotify:track:0wFkjAM4VVoepQdYB6kl4U,0.655,0.628,10,"-11,407",0,"0,0946","0,00448","0,000732","0,29","0,603","99,841",271667,4,"22,58898",10,1,6
Gettin' Jiggy Wit It,Will Smith,spotify:track:0weAUscowxeqDtpCgtbpgp,0.881,0.874,6,"-4,505",1,"0,139","0,0175","1,19E-06","0,154","0,858","107,891",227933,4,"21,25823",10,1,6
Gimme Shelter,Sisters of Mercy,spotify:track:0hysrmGwswmVtf7BlBPmxC,0.574,0.846,1,"-9,392",1,"0,04","0,00223","0,0123","0,0829","0,497","109,539",357068,4,"27,34772",13,0,6
Gimme Some Love,Gina G,spotify:track:2ugmMZ7FKTSLfcZy6pKeMW,0.726,0.918,10,"-6,94",0,"0,0363","0,0303","0,000532","0,0691","0,861","134,009",214227,4,"31,64481",9,1,6
Girlfriend/Boyfriend,BLACKstreet With Janet,spotify:track:4m8ABsMkJCzhdIaWVQvIHD,0.892,0.768,10,"-2,345",0,"0,181","0,0156","0,00906","0,34","0,566","103,003",243440,4,"31,4051",12,1,6
Give It Up,ZZ Top,spotify:track:470PZEQc7PUnvhp73hSrJc,0.664,0.665,10,"-9,881",1,"0,0282","0,00812","0,000114","0,149","0,53","123,95",209427,4,"54,72306",9,1,6
Given To Fly,Pearl Jam,spotify:track:3vL9lPWBuv0ZR3c5YmdhDl,0.317,0.764,7,"-7,076",1,"0,0282","0,000294","0,099","0,0996","0,341","101,173",238867,4,"53,29529",11,1,6
God Blessed Texas,Little Texas,spotify:track:4qkshp4FWe0msInDWTbBlR,0.648,0.766,9,"-8,514",1,"0,0326","0,232","1,54E-05","0,121","0,971","128,798",208733,4,"16,33881",9,1,6
God Rock,Nik Turner,spotify:track:4BKvPgQ42H9AXuhG2XFdz4,0.335,0.357,7,"-15,456",1,"0,0306","0,278","0,815","0,114","0,105","165,332",354467,4,"63,01382",18,0,6
Gog Ska,Maroon Town,spotify:track:3hPptR0LJ4iaf8gewxumlk,0.726,0.545,9,"-10,84",0,"0,0285","0,0121","0,879","0,0811","0,844","133,045",288507,4,"17,21223",15,0,6
Going Back To Cali,The Notorious B.I.G.,spotify:track:53duuSwaLOZuIrELvZXqLH,0.851,0.647,9,"-5,847",1,"0,339","0,207",0,"0,0447","0,596","99,17",307427,4,"23,71337",13,1,6
Going Great,Keith Mansfield,spotify:track:1jdSaAKgKJWqKfCG27uYis,0.595,0.729,10,"-13,383",0,"0,0387","0,00262","0,928","0,0705","0,75","108,028",147707,4,"37,89875",8,0,6
Gold Diggin' Girls,MC Nas-D & DJ Fred,spotify:track:1Dg3sxXoz7q1MxjbhngnUT,0.899,0.667,11,"-4,603",0,"0,201","0,00276","4,05E-06","0,112","0,754","138,031",261600,4,"32,90832",11,1,6
Golden Brown,Drive Like Jehu,spotify:track:74qgrn0YAo3cgRcH4xQBsA,0.335,0.996,11,"-6,017",0,"0,0808","1,98E-05","0,771","0,384","0,167","100,718",194533,4,"97,67894",5,0,6
Gone Crazy,Alan Jackson,spotify:track:5FF1zkuNs0xEiXj9RaZeo0,0.538,0.34,5,"-12,064",1,"0,0244","0,43","5,82E-05","0,0936","0,165","76,344",230440,4,"38,91877",10,1,6
Good Enough,Sarah McLachlan,spotify:track:0iSMAOr4EWdHJFOPi1xfiT,0.515,0.445,9,"-7,674",1,"0,0273","0,458","0,000528","0,106","0,464","175,915",303933,4,"36,02439",12,1,6
Good King Joy,Trans-Siberian Orchestra,spotify:track:2loFWUmMHXnCBO6Ays3c8Y,0.363,0.449,4,"-10,442",1,"0,0324","0,359","0,279","0,0741","0,085","141,233",395600,4,"43,46291",18,0,6
Good Things,Sebadoh,spotify:track:3YyFQvSUMuv2r31rG0qkX4,0.394,0.859,1,"-9,25",1,"0,0536","0,000597","0,00468","0,0609","0,685","111,196",85800,4,"17,84327",7,0,6
Good Vibrations,Marky Mark & The Funky Bunch Featuring Loleatta Holloway,spotify:track:5hWdgGVcfTeLPAiHM6EZG9,0.711,0.951,1,"-8,406",1,"0,0537","0,00189","0,366","0,0229","0,903","121,656",269307,4,"32,15875",12,1,6
Goodbye,Spice Girls,spotify:track:6ZNw9Cnc85OeHZrjMAZJfY,0.552,0.694,4,"-4,489",1,"0,026","0,0846",0,"0,117","0,359","136,019",275427,4,"51,38794",15,1,6
Goodbye,Tevin Campbell,spotify:track:2rVXKUyHxMoWk7vTyOcYIH,0.607,0.714,5,"-9,776",0,"0,0536","0,00805","1,24E-05","0,213","0,573","165,939",270652,4,"31,80039",11,1,6
Got Your Money,Ol' Dirty Bastard Featuring Kelis,spotify:track:6YYd5MLpu45J0uLrMdivF7,0.934,0.459,1,"-7,654",1,"0,189","0,0516",0,"0,222","0,697","103,04",239547,4,"38,01367",12,1,6
Gotta Be,Jagged Edge,spotify:track:5nS5mDWAyce9gjD8crHcZX,0.719,0.362,9,"-11,547",1,"0,0276","0,651",0,"0,114","0,58","109,915",215267,4,"62,32287",9,1,6
Grandma Got Run Over By A Reindeer,Elmo & Patsy,spotify:track:49iHYFjT5yO6WEw6KerX9o,0.781,0.53,4,"-14,848",1,"0,0685","0,227",0,"0,106","0,817","110,157",206360,4,"21,57383",11,1,6
Grapevyne,Brownstone,spotify:track:69sIrKE4gd2NdIdstf9Ebh,0.723,0.647,11,"-9,178",0,"0,0317","0,0768","0,000237","0,131","0,653","137,336",336550,4,"28,56052",14,1,6
Groovin',UB40,spotify:track:3hy7Mc96hdAA2eXGDCs7zW,0.817,0.561,2,"-13,311",1,"0,0539","0,00204","0,00879","0,0421","0,904","99,02",229973,4,"40,30897",12,1,6
Groovin' In The Midnight,Maxi Priest,spotify:track:6BD0vChKASpviIQeCTd7Yy,0.652,0.645,10,"-8,482",0,"0,0414","0,0401","2,29E-05","0,0739","0,555","92,945",303533,4,"37,70245",11,1,6
Groovy Train,The Farm,spotify:track:1ysmnwsl0Z1xwokMMx0LLL,0.663,0.663,7,"-16,943",1,"0,0351","0,00286","1,78E-05","0,0233","0,782","115,858",244467,4,"18,89316",10,1,6
Guitar Solo (Trilogy Suite Opus 5 / Spasebo Blues),Yngwie Malmsteen,spotify:track:78CvSqeR1RS3jCPkSyaI6g,0.2,0.944,8,"-11,924",1,"0,173","0,0702","0,892","0,975","0,0747","119,548",620560,3,"108,04803",22,0,6
Gutter Glitter,Switchblade Symphony,spotify:track:1jvSN3jnZZdlSDeKf1MLqn,0.631,0.586,0,"-11,949",0,"0,0287","0,309","0,534","0,208","0,166","120,021",230388,4,"41,3882",9,0,6
Hades,Bathory,spotify:track:0GCI7PHxYamIKIVjO3pUvm,0.138,0.928,10,"-7,95",0,"0,116","1,67E-05","0,854","0,0995","0,055","101,005",168160,4,"61,09973",8,0,6
Hair Shoes (Demo),Pale Saints,spotify:track:5CjiJgkEWWji5aHCOCZP6j,0.12,0.368,4,"-17,083",0,"0,038","0,15","0,346","0,116","0,084","79,353",196227,5,"28,59315",9,0,6
Hallways Of Enchanted Ebony,Agalloch,spotify:track:4aR5Yt5NKhvXa2kLP3gcfF,0.243,0.743,8,"-11,998",0,"0,0607","0,00982","0,534","0,375","0,159","133,945",599627,4,"88,3326",14,0,6
Hang In Long Enough,Phil Collins,spotify:track:4y42JYIIfYXrJ63s5hQQWS,0.764,0.82,10,"-5,153",0,"0,0349","0,321","0,0219","0,917","0,56","119,985",285000,4,"36,5325",12,1,6
Happy Christmas ( War Is Over ),Roch Voisine,spotify:track:5ThCKAfvYZr6ARnPrbEdJs,0.502,0.446,11,"-8,703",1,"0,0348","0,331","3,28E-06","0,203","0,305","152,205",294400,3,"87,30082",13,0,6
Happy Days,Silk,spotify:track:3a4UiW8cNqCZ6VANJSo1GJ,0.697,0.544,6,"-8,879",1,"0,0602","0,00185",0,"0,223","0,526","94,303",318933,4,"23,72117",13,1,6
Hardcore Rules,25 Ta Life,spotify:track:75UjNrkncJ1idxVzlxkxLW,0.207,0.989,6,"-5,564",1,"0,218","0,000118","0,134","0,2","0,323","200,465",80987,4,"49,52643",3,0,6
Harmageddon,Apocalyptica,spotify:track:4mDSLI5UtU0xJoqaqPp1UB,0.205,0.581,9,"-8,092",1,"0,0434","0,0699","0,854","0,0807","0,169","84,302",296200,4,"13,51356",14,0,6
Hate Me Now,Nas Featuring Puff Daddy,spotify:track:158DIbrVt4YbqNnWyRCS3P,0.678,0.77,9,"-4,399",0,"0,222","0,00583",0,"0,109","0,412",90,284000,4,"20,72422",12,1,6
Haunted Gate,David Toop,spotify:track:2kGg4cdkcdNLTYEAX6YW9S,0.239,0.235,10,"-20,067",0,"0,0687","0,468","0,928","0,126","0,332","150,809",77360,4,"16,69506",3,0,6
He Can't Love U,Jagged Edge,spotify:track:3VEZvzr84WVnoorZ4tlBSw,0.721,0.836,8,"-3,972",0,"0,206","0,112",0,"0,235","0,508","126,279",244053,4,"18,75298",11,1,6
Head (She's Just a...) [Rock Version],Atom And His Package,spotify:track:4QVUAVM3c5HFINT7FOm0Do,0.365,0.878,0,"-7,237",1,"0,202","6,41E-05","0,000395","0,665","0,759","98,002",111413,4,"31,74047",6,0,6
Healthy Food,Cookie Monster,spotify:track:72v8hMTVwRZYkiHpvqONAv,0.848,0.677,7,"-10,925",1,"0,138","0,761",0,"0,0796","0,602","92,006",172200,4,"33,5008",11,0,6
Heartland,Richard Elliot,spotify:track:14W1nZyDSGlOwTeEa2kc7C,0.432,0.342,0,"-11,511",1,"0,027","0,183","0,93","0,0963","0,293","161,966",253160,4,"48,59496",10,0,6
Heavy Metal Mama,Devin Townsend,spotify:track:7lZOgb06ueV5hj0JTV5pyL,0.355,0.644,4,"-10,016",0,"0,0978","0,0159","0,000545","0,674","0,465","96,375",287867,4,"39,10433",13,0,6
Hell Bent for Leather,Judas Priest,spotify:track:3SfQsnBVAeOBC8JM8cr9VS,0.497,0.831,9,"-7,412",1,"0,124","0,00758","2,02E-05","0,11","0,287","96,404",160107,4,"24,51239",12,0,6
Here We Are,Gloria Estefan,spotify:track:4asTNYhhrp323lLp81KIKQ,0.694,0.467,9,"-14,437",1,"0,0329","0,639","1,61E-05","0,0869","0,63","142,132",289707,4,"32,93968",14,1,6
Here's That Rainy Day,Gene Ammons,spotify:track:1m0dIj1PvGldkiwJUYzc1l,0.391,0.105,5,"-14,607",1,"0,035","0,913","0,194","0,113","0,162","95,833",367693,4,"50,98469",18,0,6
Here's Your Sign (Get The Picture),Bill Engvall With Special Guest Travis Tritt,spotify:track:44km4gpFwy6GQzX5deHuPC,0.586,0.936,7,"-6,605",1,"0,549","0,337",0,"0,928","0,732","178,068",220173,4,"23,99021",15,1,6
Hernando's Hideaway - Remastered,Billy May,spotify:track:6IDra9pp8GtCxKMS6lehn5,0.738,0.247,1,"-13,614",1,"0,0418","0,565","0,498","0,0901","0,697","121,177",139760,4,"27,63039",7,0,6
Hero Of The Day,Metallica,spotify:track:5ktyEZbrgBEePsu6MW5Cvw,0.351,0.9,8,"-7,146",1,"0,0357","0,000107","0,0262","0,11","0,777","116,023",261693,4,"31,40792",10,1,6
"Hey Helmut, wach auf! - Rock Mix",Holger,spotify:track:4TvUQYnEHNV5I5p0xF3lr4,0.48,0.775,7,"-5,441",1,"0,0545","0,66","7,36E-06","0,102","0,733","89,919",241693,3,"49,42707",9,0,6
Hey Lupe,Los Superclasicos,spotify:track:5SjjoDG7dPqahLQZLZkO6C,0.715,0.33,6,"-15,25",1,"0,0998","0,149",0,"0,0948","0,715","123,801",126907,4,"100,75713",4,0,6
Hide Your Heart,KISS,spotify:track:47o525G86mLspoGnUCaMd9,0.572,0.846,11,"-10,081",0,"0,0617","0,306","1,31E-05","0,169","0,596","122,384",264133,4,"48,81699",11,1,6
Hiena del Metal,V8,spotify:track:324YckvOymgItxbTFSrHEe,0.368,0.592,7,"-13,544",1,"0,1","8,13E-05","2,01E-06","0,0823","0,461","123,467",226160,4,"24,2763",12,0,6
High,The Cure,spotify:track:2iVtt0mYIL26IGAgRkhHT5,0.618,0.717,9,"-12,107",1,"0,03","0,0164","0,000339","0,0594","0,761","114,802",213333,4,"67,25689",9,1,6
High Street Yanks,The Membranes,spotify:track:38J5wuSw28lVMV3Os1pSpc,0.359,0.739,5,"-14,595",1,"0,0498","0,000273","4,39E-05","0,597","0,408","138,297",138440,4,"20,06333",10,0,6
Higher,Creed,spotify:track:1ZozJfi8u9cO2Ob8KwiwNT,0.459,0.83,2,"-6,254",1,"0,0364","5,15E-05","0,00014","0,206","0,431","155,826",316733,4,"28,21589",14,1,6
Higher Than Hope,Daryl Braithwaite,spotify:track:6xoHjRpW2oN3rHLOY1Xda3,0.705,0.635,1,"-11,835",1,"0,0369","0,0268","0,000518","0,104","0,599","109,99",299667,4,"30,21076",16,1,6
Highwire,The Rolling Stones,spotify:track:7tlbHVveasgXlT0HmHXm5Y,0.442,0.942,7,"-2,669",1,"0,0472","0,0177","0,00274","0,0455","0,809","126,884",285573,4,"85,0417",9,1,6
Hip Hop Ride,Da Youngsta's,spotify:track:2MYP61a4O2CcM9tEYwM0gf,0.788,0.589,1,"-8,996",1,"0,0909","0,00021","0,00124","0,0665","0,486","96,969",259933,4,"47,88808",10,1,6
Hoje Eu Quero Sair Só,Lenine,spotify:track:3MlTmlmooUijgyJJswZfm1,0.773,0.549,7,"-10,091",1,"0,0424","0,222","0,000986","0,106","0,707","94,014",338387,4,"29,26598",16,0,6
Hold On,Jamie Walters,spotify:track:2kQLJexCx8wPTAqK0x0ijO,0.571,0.553,0,"-8,584",1,"0,0279","0,0319",0,"0,109","0,209","126,215",264560,4,"32,72038",14,1,6
Hold On (Tighter To Love),Clubland,spotify:track:25tq1GAZcbFEfJLex2mZSb,0.796,0.688,7,"-7,932",0,"0,0558","0,00131","0,361","0,0888","0,573","119,768",404074,4,"49,94648",18,1,6
"Holland, 1945",Neutral Milk Hotel,spotify:track:4iwMhMvcTqukn1n3NVjb2N,0.0617,0.887,7,"-4,305",1,"0,0636","0,0399","0,000157","0,619","0,48","198,592",192533,4,"26,6064",10,0,6
Home,Depeche Mode,spotify:track:747YFXlsStfjON5cmYMT0d,0.473,0.725,1,"-7,785",1,"0,0307","0,0829","0,00445","0,0787","0,463","150,741",342893,4,"24,99044",19,1,6
Hooked On A Feeling (Ooga-Chaka),Baby Talk,spotify:track:3gQRcZZeBCMGANY1wT2x6A,0.613,0.678,8,"-7,85",1,"0,106","0,542",0,"0,0391","0,911","118,629",181107,4,"33,54798",8,1,6
"Hop Up, My Ladies",Mike Seeger,spotify:track:38OsbpWoHNLb3tz5qLxeWH,0.617,0.329,0,"-11,794",1,"0,0483","0,931","1,58E-05","0,113","0,922","106,84",144867,4,"38,26044",8,0,6
Hopelessly,Rick Astley,spotify:track:2sZX1XaQOGaOZEQLCzRkCU,0.547,0.457,8,"-9,872",1,"0,0293","0,46",0,"0,122","0,298","150,001",215133,4,"71,02549",7,1,6
